com.samsung.health.food_intake,6156001,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2020-12-28 23:00:00.000,1.0,,2020-12-31 14:49:18.661,2020-12-31 14:49:18.661,100002,MyFitnessPal Lunch,meal,220.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,e3434f59-7d13-4f00-8530-8f70b3f38635,6015b533-e971-463f-8145-121b93a4afff,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.434,2021-01-10 19:41:27.434,100001,MyFitnessPal Breakfast,meal,273.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,532c0fab-2d97-48c9-82be-979871ceb81d,6f41550f-360f-43e4-9d6d-f2d3cf75d3d0,
2021-01-01 17:00:00.000,1.0,,2021-01-03 12:25:23.437,2021-01-03 12:25:23.437,100003,MyFitnessPal Dinner,120001,420.0,UTC+0200,vC702BfhH0,,com.sec.android.app.shealth,f1205109-2e6f-4e1f-abcc-069f6df7f3dc,fe79ef70-1e1d-46aa-9191-8db0348e0457,
2020-12-27 23:00:00.000,1.0,,2020-12-30 21:09:41.240,2020-12-30 21:09:41.240,100002,MyFitnessPal Lunch,meal,767.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,531fb013-b785-486f-bd8c-d2af0aa5a4d2,e2e0d5c8-6aa2-4879-8510-87779f7164d7,
2020-12-26 23:00:00.000,1.0,,2020-12-29 20:28:39.292,2020-12-29 20:28:39.292,100002,MyFitnessPal Lunch,meal,230.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,0908378c-d1a8-42d6-a666-8cb83a0d807d,73e26ded-232e-4d95-86a9-f75c4f1f10c3,
2021-01-02 23:00:00.000,1.0,,2021-01-05 21:13:14.283,2021-01-05 21:13:14.283,100005,MyFitnessPal Snacks,meal,628.2,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,32f1c6fb-21e2-43cd-8ff6-23ebf932a553,e8cc7a54-9923-47fd-ae1d-e947dc8465bf,
2021-01-03 23:00:00.000,1.0,,2021-01-06 20:38:05.757,2021-01-06 20:38:05.757,100005,MyFitnessPal Snacks,meal,583.15,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,2209d00c-dd98-4028-be8c-a3eb1dfd4901,23244f2e-74ee-4949-ad0e-251a8109980e,
2021-01-08 23:00:00.000,1.0,,2021-01-10 19:41:27.644,2021-01-10 19:41:27.644,100002,MyFitnessPal Lunch,meal,1098.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,debf0c03-9079-42a0-bc54-a046e659f629,b7f6b559-7f3e-4452-9838-bb86ee28684c,
2021-01-01 23:00:00.000,1.0,,2021-01-04 09:00:02.082,2021-01-04 09:00:02.082,100005,MyFitnessPal Snacks,meal,667.02,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4aaf3b87-3ca3-4a90-9139-72d32d5b80cc,171cf77a-29af-499d-ba86-1c87e188bcf2,
2020-12-22 23:00:00.000,1.0,,2020-12-24 21:01:54.832,2020-12-24 21:01:54.832,100003,MyFitnessPal Dinner,meal,682.89996,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,06aa7f2b-cf89-47df-88bc-5bd8fbd6ccbb,8f1dd56c-7078-45b8-b6dc-efbba8913950,
2020-12-30 23:00:00.000,1.0,,2021-01-02 22:20:25.130,2021-01-02 22:20:25.130,100001,MyFitnessPal Breakfast,meal,611.65,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,83081304-99f4-4d10-9ed8-d5df8c80efdb,81aa1a38-2118-47b2-8371-080334e370ee,
2021-01-04 23:00:00.000,1.0,,2021-01-07 18:28:28.986,2021-01-07 18:28:28.986,100001,MyFitnessPal Breakfast,meal,341.62,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,baa3967f-447d-4585-ab8a-dd508c10d09f,64802d56-c0c0-4dff-bbb2-a5f40d5e05b3,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.473,2021-01-10 19:41:27.473,100002,MyFitnessPal Lunch,meal,595.95,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,d3963440-f180-4961-88cd-60bf6af08feb,4f8231e2-d492-4faf-bb94-3ef5e3b2d21b,
2020-12-30 23:00:00.000,1.0,,2021-01-02 22:20:25.185,2021-01-02 22:20:25.185,100003,MyFitnessPal Dinner,meal,185.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c6f8a2d8-0266-46f4-a59c-a9175c99cfe1,da48692d-3795-48b8-a9ce-5d9524d235fc,
2021-01-06 23:00:00.000,1.0,,2021-01-09 13:38:10.233,2021-01-09 13:38:10.233,100002,MyFitnessPal Lunch,meal,532.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,8aeb26f3-85e2-4b8b-a0a9-1c4eee6423fb,dfa770c9-e4d6-444d-a0a3-0d71dc293b73,
2020-12-29 23:00:00.000,1.0,,2021-01-01 21:11:28.336,2021-01-01 21:11:28.336,100001,MyFitnessPal Breakfast,meal,630.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,b23e2c57-0edd-4397-ba3f-50e74bca4ba1,956478cf-91b3-4d07-9d96-41117728f5a8,
2021-01-05 23:00:00.000,1.0,,2021-01-08 17:52:36.452,2021-01-08 17:52:36.452,100001,MyFitnessPal Breakfast,meal,207.51,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4b915517-558c-4a7d-94ca-c85db53100a9,36754780-7bca-4841-ba1e-2c41f877be5a,
2020-12-21 23:00:00.000,1.0,,2020-12-24 21:01:54.496,2020-12-24 21:01:54.496,100005,MyFitnessPal Snacks,meal,872.55,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c6108e95-0ae7-48bf-9f5c-aca979f98155,28a66a61-f4c3-4986-bc70-e8aa22492987,
2021-01-05 23:00:00.000,1.0,,2021-01-08 17:52:36.497,2021-01-08 17:52:36.497,100002,MyFitnessPal Lunch,meal,182.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,e232fb0c-7ff7-4e63-85a4-14b12451b731,3277b5a4-1322-46ad-8d37-93c4b793c5ec,
2020-12-22 23:00:00.000,1.0,,2020-12-24 21:01:54.726,2020-12-24 21:01:54.726,100002,MyFitnessPal Lunch,meal,958.4,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,a0cdc6ab-5e8c-48ec-83a3-8154e041751a,3bbfbafe-de44-4784-8ca3-0e73a8168535,
2020-12-31 23:00:00.000,1.0,,2021-01-03 17:01:29.411,2021-01-03 17:01:29.411,100003,MyFitnessPal Dinner,meal,561.87683,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,febde66b-4e19-4319-b74a-d71fc6b1ee0c,,
2021-01-06 23:00:00.000,1.0,,2021-01-09 13:38:10.191,2021-01-09 13:38:10.191,100001,MyFitnessPal Breakfast,meal,292.55,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,fad1e767-2d10-404c-8b1b-c2f11719a132,fee50d96-1d16-424d-92b6-2d19375c40a0,
2020-12-20 23:00:00.000,1.0,,2020-12-23 22:21:08.353,2020-12-23 22:21:08.353,100003,MyFitnessPal Dinner,meal,698.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,8bc987d3-dd29-47b3-8f29-e5efd4db0ddd,7ddd9b1c-1226-4c33-9147-63f35ceb358b,
2021-01-01 23:00:00.000,1.0,,2021-01-04 09:00:02.044,2021-01-04 09:00:02.044,100001,MyFitnessPal Breakfast,meal,350.84,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,77a927e3-bc33-4bd1-9a5d-cd9ee2777056,458d1e99-f9de-4fca-8064-1e643ce1e695,
2020-12-28 23:00:00.000,1.0,,2020-12-31 14:49:18.711,2020-12-31 14:49:18.711,100005,MyFitnessPal Snacks,meal,791.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,6f7c35ba-fbd1-4b63-ae4e-73aa38bcf9e2,d8290b89-5c44-49cd-8823-c597f73e22c0,
2021-01-08 23:00:00.000,1.0,,2021-01-10 19:41:27.611,2021-01-10 19:41:27.611,100001,MyFitnessPal Breakfast,meal,570.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,319121a1-d0c4-4e1b-88bb-9ead0951a47d,2b0096d5-3398-4c70-9b8d-871e84801210,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.553,2021-01-10 19:41:27.553,100003,MyFitnessPal Dinner,meal,770.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4f2e7247-8275-4383-a34a-95894c0fffbe,7b074253-31a4-482c-a2e0-9dbbc5722c4f,
2021-01-09 23:00:00.000,1.0,,2021-01-12 07:40:55.137,2021-01-12 07:40:55.137,100005,MyFitnessPal Snacks,meal,479.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,68864d5c-a612-4fcd-82fb-68d0ae40a9f3,9e1388a3-af84-4a21-b55e-f0003532eb73,
2020-12-27 23:00:00.000,1.0,,2020-12-30 21:09:41.316,2020-12-30 21:09:41.316,100003,MyFitnessPal Dinner,meal,255.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,7cade51c-eaed-4af8-a10f-fcfe5ea9de18,d66a142a-6fcc-45d2-820f-1cabf88b2516,
2021-01-08 23:00:00.000,1.0,,2021-01-10 19:41:27.721,2021-01-10 19:41:27.721,100003,MyFitnessPal Dinner,meal,500.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,14607e7e-721a-445e-a43b-531cc27649ee,44d98283-a36f-444b-83f6-91ddfbab9d6e,
2021-01-06 23:00:00.000,1.0,,2021-01-09 13:38:10.320,2021-01-09 13:38:10.320,100003,MyFitnessPal Dinner,meal,584.11,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,5c3f66c0-5035-49a8-9485-dba9432da219,e37d6f1f-010a-4559-94cb-e2baa76b3a1c,
2020-12-22 23:00:00.000,1.0,,2020-12-24 21:01:54.679,2020-12-24 21:01:54.679,100001,MyFitnessPal Breakfast,meal,360.02,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,6b2c8431-6494-47b0-8cd1-5d8ec7252344,560d0531-a382-4fab-b21a-d7e05507e6c3,
2020-12-27 23:00:00.000,1.0,,2020-12-30 21:09:41.194,2020-12-30 21:09:41.194,100001,MyFitnessPal Breakfast,meal,369.02,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,e79510f0-cb00-4606-9011-3c76a7fe4a9f,f8e279db-0ddd-4c0e-a91e-c4c9ca0d53ab,
2021-01-02 23:00:00.000,1.0,,2021-01-05 21:13:14.335,2021-01-05 21:13:14.335,100003,MyFitnessPal Dinner,meal,300.72,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,2783d363-0433-4562-a386-5c0d140bb5c9,ff0f720f-af56-4fcd-b53e-4489a18d9142,
2021-01-05 23:00:00.000,1.0,,2021-01-08 17:52:36.571,2021-01-08 17:52:36.571,100003,MyFitnessPal Dinner,meal,1458.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,f916b985-9c32-4962-b443-8d2d1ce546c0,ff8c7446-4a93-42e5-aad9-32addaba88d9,
2021-01-06 23:00:00.000,1.0,,2021-01-09 13:38:10.269,2021-01-09 13:38:10.269,100005,MyFitnessPal Snacks,meal,209.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c713a1f1-1b6b-454b-b525-c167a8593ce8,4f1b8d7e-df0e-4594-9e37-302aa36c9a89,
2020-12-26 23:00:00.000,1.0,,2020-12-29 20:28:39.375,2020-12-29 20:28:39.375,100003,MyFitnessPal Dinner,meal,420.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,9446bce4-9b30-42d9-8445-682a63821fa9,fe79ef70-1e1d-46aa-9191-8db0348e0457,
2020-12-21 23:00:00.000,1.0,,2020-12-24 21:01:54.328,2020-12-24 21:01:54.328,100001,MyFitnessPal Breakfast,meal,105.02,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,6575237f-cbb9-4143-8228-9ef2af3b031b,c22a1f89-52de-49a7-a2ad-6a2dc68dc398,
2021-01-03 23:00:00.000,1.0,,2021-01-06 20:38:05.723,2021-01-06 20:38:05.723,100002,MyFitnessPal Lunch,meal,530.0725,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,3c24bae0-c6ae-4dae-a971-104ed29e00bf,79cf7fc4-a865-4eb6-b4da-a15e7798d6e5,
2020-12-29 23:00:00.000,1.0,,2021-01-01 21:11:28.417,2021-01-01 21:11:28.417,100005,MyFitnessPal Snacks,meal,308.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,64cae2d4-b48c-434d-936c-b2e95476440e,4497ca87-2bdb-4c92-9679-5455206b1031,
2020-12-29 23:00:00.000,1.0,,2021-01-01 21:11:28.453,2021-01-01 21:11:28.453,100003,MyFitnessPal Dinner,meal,720.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,b6540f9e-518b-4e40-acae-9406a553dc63,8fcd4a89-0455-4d3f-bf98-6204191b2e65,
2021-01-04 23:00:00.000,1.0,,2021-01-07 18:28:29.123,2021-01-07 18:28:29.123,100003,MyFitnessPal Dinner,meal,437.805,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,07fae2e8-f739-4605-b3db-fa58212d2506,1f404633-9996-4dad-9e7a-691386c35f18,
2021-01-03 23:00:00.000,1.0,,2021-01-06 20:38:05.684,2021-01-06 20:38:05.684,100001,MyFitnessPal Breakfast,meal,611.65,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,84be114e-34ef-4788-a73b-0d30984abf84,49d6ec36-0fab-4e9e-b57d-c6c18575634b,
2020-12-31 23:00:00.000,1.0,,2021-01-03 17:01:29.361,2021-01-03 17:01:29.361,100001,MyFitnessPal Breakfast,meal,600.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,39485850-5112-4568-a3d3-2f3a343856de,4ec364d0-559f-4053-8dba-850ead2b95aa,
2021-01-07 23:00:00.000,1.0,,2021-01-10 19:41:27.519,2021-01-10 19:41:27.519,100005,MyFitnessPal Snacks,meal,504.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,8beb0ff4-9948-45c5-a14c-1f484ae63069,8c03621f-f2f0-402b-a8c9-817c5f29ae63,
2021-01-08 23:00:00.000,1.0,,2021-01-10 19:41:27.684,2021-01-10 19:41:27.684,100005,MyFitnessPal Snacks,meal,254.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,b93b9de3-1b8c-4057-b94c-8a871ebcc152,da840f82-659a-48b6-9d0d-4eef869fef90,
2020-12-28 23:00:00.000,1.0,,2020-12-31 14:49:18.746,2020-12-31 14:49:18.746,100003,MyFitnessPal Dinner,meal,387.59,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,9b3105c5-9cf8-477e-9fde-c80e0f35ea7f,6580a967-1fce-4626-8286-9b74806c4ecc,
2021-01-09 23:00:00.000,1.0,,2021-01-12 07:40:55.046,2021-01-12 07:40:55.046,100001,MyFitnessPal Breakfast,meal,178.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,5bf331ec-df6f-4b35-bd83-95469c6fdbc7,5d1a4852-bb39-411a-8aec-943a1c9b2729,
2021-01-09 23:00:00.000,1.0,,2021-01-12 07:40:55.088,2021-01-12 07:40:55.088,100002,MyFitnessPal Lunch,meal,843.56146,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4a0d0e6f-d3f9-440b-8ed9-ad8891089277,b1e9360d-0382-4808-8807-ee2a950147f6,
2021-01-05 23:00:00.000,1.0,,2021-01-08 17:52:36.533,2021-01-08 17:52:36.533,100005,MyFitnessPal Snacks,meal,170.32,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,cc21338b-6c05-4f85-80fc-d7916757f5af,135a83ec-f61f-4832-9509-1663744bc595,
2020-12-27 23:00:00.000,1.0,,2020-12-30 21:09:41.282,2020-12-30 21:09:41.282,100005,MyFitnessPal Snacks,meal,307.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,72fb3b3c-0fd8-4e65-af24-8e904f03ed9e,23f96389-bfd2-4338-b0cc-50cc624b04dd,
2020-12-26 23:00:00.000,1.0,,2020-12-29 20:28:39.324,2020-12-29 20:28:39.324,100005,MyFitnessPal Snacks,meal,823.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,f7fb6ad2-6778-4e7a-8dce-c05795980bc9,fc212f2d-85f8-4f47-93a0-ec3056ef0f5d,
2020-12-29 23:00:00.000,1.0,,2021-01-01 21:11:28.379,2021-01-01 21:11:28.379,100002,MyFitnessPal Lunch,meal,611.65,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,f2b4e5ec-d6f3-4795-a79a-c60dda2324c1,ae084f8b-a28b-496b-b377-a866fc9d90a2,
2020-12-31 23:00:00.000,1.0,,2021-01-03 17:01:29.390,2021-01-03 17:01:29.390,100005,MyFitnessPal Snacks,meal,790.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,b778976f-cf4c-452c-b0c2-23930c2237a9,697b1b9a-f789-463b-a00c-1d81179820db,
2021-01-04 23:00:00.000,1.0,,2021-01-07 18:28:29.022,2021-01-07 18:28:29.022,100002,MyFitnessPal Lunch,meal,583.74005,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,894158c0-68e3-483e-ab99-19b2092fbb06,0b7ebdae-80cc-4772-80ec-6501e4a63e67,
2021-01-01 23:00:00.000,1.0,,2021-01-04 09:00:02.120,2021-01-04 09:00:02.120,100003,MyFitnessPal Dinner,meal,814.8725,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,4538f56a-ca0b-4bb1-94c5-30ee04ba4b7c,c90d8549-31a5-4962-89bd-d25d28b7b36a,
2020-12-28 23:00:00.000,1.0,,2020-12-31 14:49:18.618,2020-12-31 14:49:18.618,100001,MyFitnessPal Breakfast,meal,689.48,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,813d74e9-1f1f-4303-85c7-03e5d1f9c4f9,a4ca8d66-f68b-4d0f-b679-567eb2065972,
2021-01-03 23:00:00.000,1.0,,2021-01-06 20:38:05.798,2021-01-06 20:38:05.798,100003,MyFitnessPal Dinner,meal,554.03,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,5363d846-d478-4fb0-9076-5cadbc2a79c3,43d58773-cbae-4df0-809d-99136924ad23,
2020-12-21 23:00:00.000,1.0,,2020-12-24 21:01:54.442,2020-12-24 21:01:54.442,100002,MyFitnessPal Lunch,meal,414.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c902ab40-e077-4ae8-884f-7889142506f5,ae2dc1f8-8fe2-489d-96f6-928e360dce93,
2020-12-30 23:00:00.000,1.0,,2021-01-02 22:20:25.157,2021-01-02 22:20:25.157,100005,MyFitnessPal Snacks,meal,783.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,f2471dd4-6ce5-4f5b-8c9a-6887fed921c9,8820ee91-44a7-499a-90e5-f3f8105a5956,
2020-12-22 23:00:00.000,1.0,,2020-12-24 21:01:54.772,2020-12-24 21:01:54.772,100005,MyFitnessPal Snacks,meal,495.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,813bfe42-4e20-43e6-a738-79ff3065b824,8f857f2c-98b8-48fc-8905-be29dbac2357,
2021-01-11 23:00:00.000,1.0,,2021-01-12 08:01:11.464,2021-01-12 08:01:11.464,100001,MyFitnessPal Breakfast,meal,90.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,c91462bf-1489-453b-b815-b860778f201e,fde14662-6e06-4348-b1f6-e44eee5d857c,
2021-01-02 23:00:00.000,1.0,,2021-01-05 21:13:14.247,2021-01-05 21:13:14.247,100002,MyFitnessPal Lunch,meal,501.25,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,3e3b2135-679d-4234-b27d-94b9a540103c,ebd84027-1296-40d9-ad12-de46ef10d109,
2020-12-21 23:00:00.000,1.0,,2020-12-24 21:01:54.562,2020-12-24 21:01:54.562,100003,MyFitnessPal Dinner,meal,881.5,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,10e004a2-7a0b-4f79-9c9e-16c903a88a96,9a781586-c5a4-4953-bf0a-05c3d0cae3be,
2020-12-26 23:00:00.000,1.0,,2020-12-29 20:28:39.239,2020-12-29 20:28:39.239,100001,MyFitnessPal Breakfast,meal,496.0,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,86afaf45-feb1-457d-8b3c-7b55240dae85,0f7b0f51-4e62-4522-bca2-03d83eef01b0,
2021-01-04 23:00:00.000,1.0,,2021-01-07 18:28:29.067,2021-01-07 18:28:29.067,100005,MyFitnessPal Snacks,meal,377.03003,UTC+0200,vC702BfhH0,,com.myfitnesspal.android,e10172e9-90db-4452-b122-a64d01404fd6,ff1fdcff-bc7f-43bb-b2b7-ab38067e2aee,
