com.samsung.shealth.sleep,6156001,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,88.0,21,36,4,5,34,525,73,0,8,0,0,,,28.0,,7.0,,,e3427099-1802-da92-a8cc-3c5cced3f233.extra_data.json,5,93.0,82,525,2020-12-04 23:28:00.000,,2020-12-05 08:13:34.420,2020-12-05 08:13:33.103,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-05 08:13:00.000,e3427099-1802-da92-a8cc-3c5cced3f233,
,81.0,27,34,18,4,73,558,270,0,53,0,0,,1,66.0,,29.0,,,d1eeff0c-f985-d99e-0ba6-2cb3f3062bde.extra_data.json,3,86.0,69,558,2021-02-08 23:32:00.000,,2021-02-09 08:55:54.903,2021-02-09 08:55:52.603,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-09 08:50:00.000,d1eeff0c-f985-d99e-0ba6-2cb3f3062bde,
,80.0,10,10,5,8,26,169,103,1,13,0,0,,,24.0,,16.0,,,f3df41b2-b09f-c8bf-50be-7d55420465b6.extra_data.json,2,84.0,56,169,2020-12-10 04:48:00.000,,2020-12-10 07:45:18.880,2020-12-10 07:45:18.319,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-10 07:37:00.000,f3df41b2-b09f-c8bf-50be-7d55420465b6,
,68.0,14,14,10,13,47,437,148,2,22,0,0,,,12.0,,11.0,,,c46ed4b8-a25a-4293-984b-4606bb56acc9.extra_data.json,3,89.0,53,437,2021-01-24 23:47:00.000,,2021-01-25 07:10:57.639,2021-01-25 07:10:55.307,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-25 07:04:00.000,c46ed4b8-a25a-4293-984b-4606bb56acc9,
,67.0,14,14,5,8,71,490,153,1,48,2,0,,1,56.0,,28.0,,,caf2dcfc-43d0-0886-9f35-2c770bd4cdb2.extra_data.json,3,85.0,57,492,2021-01-31 23:35:00.000,,2021-02-01 08:05:27.164,2021-02-01 08:05:24.302,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-01 07:47:00.000,caf2dcfc-43d0-0886-9f35-2c770bd4cdb2,
,75.0,30,30,10,10,33,338,110,1,19,0,0,,,36.0,,10.0,,,d6089257-0583-2093-2578-5b566d05917b.extra_data.json,2,90.0,61,338,2021-01-04 01:22:00.000,,2021-01-04 07:19:48.654,2021-01-04 07:04:05.542,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-04 07:00:00.000,d6089257-0583-2093-2578-5b566d05917b,
,58.0,29,41,8,17,62,459,89,3,43,0,0,,,36.0,,14.0,,,55b27f10-0151-dcac-d024-aee3284574cd.extra_data.json,3,86.0,58,459,2020-11-10 22:25:00.000,,2020-11-11 06:14:05.651,2020-11-11 06:14:02.492,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-11 06:04:00.000,55b27f10-0151-dcac-d024-aee3284574cd,
,88.0,0,7,8,5,27,348,69,0,8,0,0,,,8.0,,8.0,,,32670f6e-74e8-1857-9bef-a17b7de4f0ee.extra_data.json,4,92.0,57,348,2020-12-02 22:59:00.000,,2020-12-03 04:50:45.961,2020-12-03 04:50:43.484,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-03 04:47:00.000,32670f6e-74e8-1857-9bef-a17b7de4f0ee,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-02 22:36:13.094,,2021-01-17 08:03:04.687,2021-01-17 08:03:04.687,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-03 08:46:05.985,54ec45f0-ef92-43b1-b98e-b5c19ee46699,
,60.0,0,7,3,16,54,515,51,2,21,0,0,,,4.0,,11.0,,,aa979088-cce7-0a89-edf7-192cd0eaeb7d.extra_data.json,5,89.0,42,515,2020-11-29 22:57:00.000,,2020-11-30 07:42:23.638,2020-11-30 07:42:19.317,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-30 07:32:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,
,63.0,36,36,9,17,31,408,131,1,18,0,0,,1,61.0,,19.0,,,b9741d79-00a9-53d4-f598-214358a9f67e.extra_data.json,4,92.0,65,408,2021-02-27 00:23:00.000,,2021-02-27 07:22:38.878,2021-02-27 07:19:59.345,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-27 07:11:00.000,b9741d79-00a9-53d4-f598-214358a9f67e,
,52.0,7,10,32,23,88,434,192,1,69,0,0,,1,47.0,,53.0,,,6e3decd4-844a-c7d7-edee-9982b413433c.extra_data.json,3,79.0,51,434,2021-02-25 01:36:00.000,,2021-02-25 08:54:07.187,2021-02-25 08:54:01.321,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-25 08:50:00.000,6e3decd4-844a-c7d7-edee-9982b413433c,
,61.0,0,0,11,4,15,76,76,1,10,0,0,,1,8.0,,47.0,,,10d32f81-4e97-9cef-d959-6008a988e688.extra_data.json,1,80.0,40,76,2021-02-03 13:01:00.000,,2021-02-03 14:33:45.349,2021-02-03 14:33:42.343,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-03 14:17:00.000,10d32f81-4e97-9cef-d959-6008a988e688,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-28 23:39:28.673,,2021-01-12 06:43:22.299,2021-01-12 06:43:22.299,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2020-12-29 08:53:21.609,84fbe302-292f-4262-96ca-85442b1ab411,
,95.0,0,0,3,2,9,105,31,0,6,0,0,,,0.0,,9.0,,,941de471-d669-c3e4-c746-7914257f8b12.extra_data.json,1,91.0,40,105,2021-01-25 23:44:00.000,,2021-01-26 01:33:54.122,2021-01-26 01:33:51.326,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-26 01:29:00.000,941de471-d669-c3e4-c746-7914257f8b12,
,48.0,7,7,12,21,43,459,176,1,16,0,0,,,8.0,,10.0,,,c712cd03-3596-747d-cc97-a0a89fc204b8.extra_data.json,4,90.0,55,459,2020-12-06 23:30:00.000,,2020-12-07 07:18:10.903,2020-12-07 07:13:50.382,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-07 07:09:00.000,c712cd03-3596-747d-cc97-a0a89fc204b8,
,25.0,0,0,2,50,64,234,93,1,59,8,0,,1,23.0,,55.0,,,7525df21-73d2-cf4a-87a0-5691a999a6d5.extra_data.json,3,71.0,36,242,2021-02-03 04:26:00.000,,2021-02-03 08:44:27.268,2021-02-03 08:44:21.438,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-03 08:28:00.000,7525df21-73d2-cf4a-87a0-5691a999a6d5,
,73.0,11,43,0,11,38,465,36,1,21,0,0,,,36.0,,9.0,,,49fdfec3-72e2-fee0-e868-4027ee84a5d6.extra_data.json,5,91.0,68,465,2020-12-07 23:14:00.000,,2020-12-08 07:15:25.901,2020-12-08 07:15:24.298,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-08 06:59:00.000,49fdfec3-72e2-fee0-e868-4027ee84a5d6,
,70.0,0,0,0,0,22,77,0,0,17,0,0,,1,8.0,,51.0,,,259208d1-60ed-a67f-de3a-31a5bad2b0f2.extra_data.json,0,71.0,31,77,2021-02-14 10:21:00.000,,2021-02-14 11:50:00.290,2021-02-14 11:44:25.335,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-14 11:38:00.000,259208d1-60ed-a67f-de3a-31a5bad2b0f2,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-01 23:17:34.080,,2021-01-04 23:04:34.155,2021-01-04 23:04:34.155,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-02 07:01:29.835,d9ec5a66-b2ff-4bd5-826c-b17c48d11710,
,59.0,36,36,9,26,57,512,148,1,24,3,0,,1,68.0,,22.0,,,bf675cf8-ee4c-f21f-e518-67ced90e9696.extra_data.json,5,88.0,64,515,2021-02-06 23:50:00.000,,2021-02-07 08:44:37.964,2021-02-07 08:44:35.393,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-07 08:25:00.000,bf675cf8-ee4c-f21f-e518-67ced90e9696,
,88.0,33,33,7,5,27,331,127,1,12,0,0,,,40.0,,9.0,,,97ac379d-d9c1-9334-0c09-2c2ff84a302a.extra_data.json,3,91.0,70,331,2020-11-03 22:00:00.000,,2020-11-07 08:33:38.778,2020-11-04 03:35:28.337,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-04 03:31:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,
,0.0,10,10,5,110,121,384,99,1,107,0,0,,,12.0,,32.0,,,57a1182c-44a9-46a7-e11b-8aae13902895.extra_data.json,4,68.0,55,384,2020-12-31 04:41:00.000,,2020-12-31 11:14:11.681,2020-12-31 11:14:09.292,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-31 11:05:00.000,57a1182c-44a9-46a7-e11b-8aae13902895,
,69.0,0,0,12,1,24,225,96,1,14,0,0,,1,23.0,,29.0,,,f6633074-15e0-0413-ff66-33838185994c.extra_data.json,2,89.0,40,225,2021-02-14 23:30:00.000,,2021-02-15 03:19:57.638,2021-02-15 03:19:55.316,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-15 03:15:00.000,f6633074-15e0-0413-ff66-33838185994c,
,88.0,0,0,0,5,40,366,71,0,20,7,0,,,0.0,,13.0,,,b859990a-7e37-e2a0-ab41-a8626bdf84e4.extra_data.json,3,87.0,57,373,2021-01-03 02:30:00.000,,2021-01-03 09:02:38.153,2021-01-03 08:59:09.302,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-03 08:43:00.000,b859990a-7e37-e2a0-ab41-a8626bdf84e4,
,60.0,0,14,4,10,51,309,74,1,34,0,0,,1,35.0,,33.0,,,126b1e74-2d7f-1045-d6d6-98aa346e1820.extra_data.json,2,83.0,41,309,2021-02-08 03:12:00.000,,2021-02-08 08:40:02.651,2021-02-08 08:39:59.467,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-08 08:21:00.000,126b1e74-2d7f-1045-d6d6-98aa346e1820,
,70.0,12,12,14,12,71,534,155,2,48,0,0,,,8.0,,14.0,,,f7e11c11-9e8e-e405-a363-ad43467820aa.extra_data.json,5,86.0,53,534,2020-12-17 23:32:00.000,,2020-12-18 08:29:11.617,2020-12-18 08:29:09.362,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-18 08:26:00.000,f7e11c11-9e8e-e405-a363-ad43467820aa,
,67.0,22,48,7,13,35,405,93,1,17,0,0,,1,62.0,,20.0,,,06cb74d7-4d5e-fed3-4d97-13b48a4d6814.extra_data.json,4,91.0,73,405,2021-02-23 00:35:00.000,,2021-02-23 12:32:09.166,2021-02-23 07:24:34.330,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-23 07:20:00.000,06cb74d7-4d5e-fed3-4d97-13b48a4d6814,
,83.0,22,22,3,7,43,421,109,0,20,0,0,,,20.0,,11.0,,,b264c57a-c658-300e-2ada-09e23bb3036d.extra_data.json,4,89.0,73,421,2020-12-21 00:40:00.000,,2020-12-21 07:47:04.519,2020-12-21 07:44:04.280,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-21 07:41:00.000,b264c57a-c658-300e-2ada-09e23bb3036d,
,85.0,14,33,23,6,41,382,158,1,22,0,0,,,36.0,,11.0,,,a25c5f2d-4780-1cf7-5136-8f55344db7bf.extra_data.json,3,89.0,61,382,2021-01-19 23:18:00.000,,2021-01-20 05:46:39.017,2021-01-20 05:46:37.234,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-20 05:40:00.000,a25c5f2d-4780-1cf7-5136-8f55344db7bf,
,60.0,0,0,20,5,25,188,188,1,17,0,0,,1,19.0,,33.0,,,66229c6c-01a8-c6d3-0dfa-620183d07f93.extra_data.json,1,86.0,35,188,2021-02-06 00:01:00.000,,2021-02-06 03:14:25.784,2021-02-06 03:14:23.297,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-06 03:09:00.000,66229c6c-01a8-c6d3-0dfa-620183d07f93,
,75.0,7,20,5,10,45,502,65,0,23,0,0,,,16.0,,9.0,,,4edae3e0-a7d4-9b46-c3a0-c53e25010bf5.extra_data.json,5,91.0,69,502,2020-12-21 23:42:00.000,,2020-12-22 08:08:04.688,2020-12-22 08:08:00.310,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-22 08:04:00.000,4edae3e0-a7d4-9b46-c3a0-c53e25010bf5,
,85.0,35,47,22,6,64,572,204,0,29,2,0,,,32.0,,12.0,,,c8429977-db7e-f500-3452-b38dd912fe3c.extra_data.json,5,88.0,69,574,2020-12-19 22:59:00.000,,2020-12-20 08:51:48.261,2020-12-20 08:51:45.334,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-20 08:33:00.000,c8429977-db7e-f500-3452-b38dd912fe3c,
,75.0,11,11,15,10,67,467,164,1,38,0,0,,,8.0,,15.0,,,e86781d3-d5d3-db8d-d1bb-3d5e2b2b3a10.extra_data.json,4,85.0,56,467,2021-01-22 23:41:00.000,,2021-01-23 07:43:25.818,2021-01-23 07:37:56.423,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-23 07:28:00.000,e86781d3-d5d3-db8d-d1bb-3d5e2b2b3a10,
,52.0,31,31,15,19,47,421,261,1,29,0,0,,,28.0,,12.0,,,068e2082-5530-a5c6-83b1-d82220f7cad0.extra_data.json,3,88.0,61,421,2020-12-28 01:20:00.000,,2020-12-28 08:32:51.757,2020-12-28 08:28:57.358,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-28 08:21:00.000,068e2082-5530-a5c6-83b1-d82220f7cad0,
,60.0,0,9,2,15,56,302,25,1,40,0,0,,1,33.0,,40.0,,,c20c036b-0d91-5f08-2793-0b481b289662.extra_data.json,3,81.0,41,302,2021-02-02 23:13:00.000,,2021-02-03 04:23:08.647,2021-02-03 04:23:06.346,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-03 04:15:00.000,c20c036b-0d91-5f08-2793-0b481b289662,
,90.0,22,22,6,4,14,175,93,1,7,0,0,,,52.0,,8.0,,,32db5b90-1533-860c-6209-65108efa6f4a.extra_data.json,2,92.0,67,175,2021-01-14 22:30:00.000,,2021-01-15 01:29:38.621,2021-01-15 01:29:35.375,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-15 01:25:00.000,32db5b90-1533-860c-6209-65108efa6f4a,
,33.0,0,6,2,47,73,390,65,1,43,0,0,,1,41.0,,33.0,,,8dbe19a3-81c7-92e3-435c-5dcc49a2b97c.extra_data.json,4,81.0,47,390,2021-02-22 01:20:00.000,,2021-02-22 08:04:27.710,2021-02-22 08:04:24.505,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-22 07:50:00.000,8dbe19a3-81c7-92e3-435c-5dcc49a2b97c,
,30.0,0,0,11,28,47,470,163,2,23,0,0,,,0.0,,10.0,,,9654f387-0860-82fa-85f4-826ff780ead0.extra_data.json,5,90.0,36,470,2020-12-10 23:16:00.000,,2020-12-11 07:10:22.184,2020-12-11 07:10:20.340,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-11 07:06:00.000,9654f387-0860-82fa-85f4-826ff780ead0,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-28 23:39:28.673,,2020-12-30 08:11:21.511,2020-12-30 08:11:21.511,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2020-12-29 08:53:21.609,df77450d-1af6-4492-829b-b9b25c93f703,
,45.0,15,50,4,22,57,566,80,2,22,0,0,,,36.0,,11.0,,,4234790b-0049-6dd3-cc37-87538bb0d930.extra_data.json,5,89.0,62,566,2020-11-28 22:24:00.000,,2020-11-29 07:57:32.618,2020-11-29 07:57:28.234,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-29 07:50:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-02 22:36:13.094,,2021-01-17 06:41:11.546,2021-01-17 06:41:11.546,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-03 08:46:05.985,ba01f180-1159-43ae-b2f9-0b73f68eb4e4,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-08 22:37:13.655,,2021-01-09 07:45:02.373,2021-01-09 07:45:02.373,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-09 07:44:07.868,2e95394c-0c98-440c-976c-212b587e27cb,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-22 23:16:57.146,,2021-02-28 19:08:25.356,2021-02-28 19:08:25.356,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-23 08:39:45.146,35fc7656-f129-4ca2-a858-f4d31ac5b0fc,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-16 22:01:20.086,,2021-02-28 19:08:25.670,2021-02-28 19:08:25.670,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-17 07:52:56.086,55a4e390-a067-4d4f-8c67-5a97e2a75a55,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-10 23:35:46.324,,2021-02-28 19:08:26.016,2021-02-28 19:08:26.016,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-11 07:50:46.324,1b4eee7b-6b85-41c4-9dc5-797b9ad26ba8,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-04 22:44:09.571,,2021-02-28 19:08:26.310,2021-02-28 19:08:26.310,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-05 08:20:45.571,6925b3b5-36f9-4f15-9b1a-326e61f0d64e,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-29 23:06:38.354,,2021-02-28 19:08:26.727,2021-02-28 19:08:26.727,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-30 05:41:26.354,6e3c7c34-ca44-47ad-a548-43440d37685a,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-23 23:31:54.747,,2021-02-28 19:08:27.123,2021-02-28 19:08:27.123,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-24 07:40:18.749,7a9d1f80-be83-4fef-832a-bfb16226a154,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-17 23:13:23.866,,2021-02-28 19:08:27.522,2021-02-28 19:08:27.522,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-18 07:00:11.868,cee88876-a7c8-4069-a3c8-a34682bdc554,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-11 22:32:47.730,,2021-02-28 19:08:27.808,2021-02-28 19:08:27.808,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-12 06:54:59.728,79740eac-ab4f-4170-aa84-dcb2e8414a61,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-05 23:09:09.805,,2021-02-28 19:08:28.235,2021-02-28 19:08:28.235,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-06 06:58:21.805,e5ac88b5-8cf1-4e24-b5c4-08f55083ee50,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-30 23:15:06.612,,2021-02-28 19:08:28.606,2021-02-28 19:08:28.606,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-31 09:18:42.616,a2086880-3894-474c-bc04-16f636b016df,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-25 02:08:33.914,,2021-02-28 19:08:28.881,2021-02-28 19:08:28.881,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-25 08:32:33.914,233b2f62-de13-4619-8259-33bc3a6b3002,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-18 23:22:50.025,,2021-02-28 19:08:29.185,2021-02-28 19:08:29.185,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-19 08:00:02.025,c4e4009b-230b-4955-bfdd-e628008103bf,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-12 23:15:11.126,,2021-02-28 19:08:29.621,2021-02-28 19:08:29.621,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-13 06:20:35.128,45f98502-e2f8-4ff3-878a-e777e22dc070,
